objID;RAdeg;DEdeg;XposW1;XposW2;YposW1;YposW2;FW1;FW2;e_XposW1;e_XposW2;e_YposW1;e_YposW2;e_FW1;e_FW2;q_W1;q_W2;rchi2W1;rchi2W2;fFW1;fFW2;FW1lbs;FW2lbs;e_FW1lbs;e_FW2lbs;fwhmW1;fwhmW2;SpModW1;SpModW2;e_SpModW1;e_SpModW2;skyW1;skyW2;RAW1deg;RAW2deg;DEW1deg;DEW2deg;coaddID;detIDW1;detIDW2;nmW1;nmW2;PrimW1;PrimW2;FlagsW1;FlagsW2;f_FlagsW1;f_FlagsW2;Prim
0018p378o0094554;1.3230708;37.6222893;0.000;712.664;0.000;1616.269;0.00000e+00;1.56052e+03;0.000;0.036;0.000;0.038;0.00000e+00;3.25764e+01;0.00000;1.00000;0.0000e+00;6.6760e-01;0.0000;0.4887;0.00000e+00;1.58735e+03;0.00000e+00;3.33498e+01;0.0000;2.8812;0.000000e+00;-1.353860e-03;0.000000e+00;0.000819;0.00000e+00;-8.17192e-01;0.0000000;1.3230708;0.0000000;37.6222893;0018p378;;0018p378w2o0038640;0;130;0;1;0;0;0;0;1
3028m122o0004580;303.2949527;-12.7126739;241.266;241.264;433.014;432.996;6.53110e+03;8.25589e+03;0.003;0.009;0.003;0.009;1.60322e+01;4.50016e+01;1.00000;1.00000;6.8986e+00;2.7840e+00;0.9976;0.9985;6.53163e+03;8.26694e+03;1.63083e+01;4.60106e+01;2.6248;2.8514;-6.836653e-05;-6.144643e-04;1.195284e-04;0.000233;-1.98852e+00;-1.47350e+00;303.2949527;303.2949668;-12.7126739;-12.7126754;3028m122;3028m122w1o0005900;3028m122w2o0004147;103;101;1;1;0;0;0;0;1
0250p151o0028355;24.9604460;15.0519207;902.398;902.556;1128.421;1128.037;7.51389e+01;4.15748e+02;0.178;0.138;0.180;0.134;7.68326e+00;3.07874e+01;1.00000;1.00000;1.7103e+00;5.8177e-01;0.2957;0.6733;9.16686e+01;4.16156e+02;7.86705e+00;3.16125e+01;2.6250;2.8399;1.145273e-02;2.313554e-03;3.838220e-03;0.002809;-4.28270e+00;-8.86165e-01;24.9604460;24.9607494;15.0519207;15.0520412;0250p151;0250p151w1o0060826;0250p151w2o0010940;124;119;1;1;0;0;0;0;1
1746p090o0013164;175.2716369;9.2799481;1277.253;1277.284;205.021;205.015;6.02231e+02;8.08140e+02;0.027;0.079;0.025;0.074;9.28466e+00;3.39684e+01;1.00000;1.00000;7.1937e-01;9.3245e-01;0.9300;0.9513;5.99244e+02;7.92282e+02;9.48172e+00;3.48590e+01;2.6475;2.8636;3.118515e-04;-2.827823e-03;5.957682e-04;0.001623;-2.51624e+00;9.55986e-01;175.2716369;175.2716414;9.2799481;9.2799713;1746p090;1746p090w1o0024494;1746p090w2o0013066;98;96;1;1;0;0;0;0;1
2400m273o0021438;239.3620724;-27.2528396;1030.976;1030.997;1766.990;1766.990;9.15104e+03;1.04243e+04;0.003;0.008;0.003;0.007;1.85484e+01;4.98377e+01;1.00000;1.00000;3.1563e+00;1.4504e+00;0.9958;0.9968;9.16429e+03;1.04256e+04;1.88655e+01;5.09426e+01;2.6254;2.8435;-1.356602e-04;-7.705688e-04;1.020043e-04;0.000208;-3.74665e+00;1.02301e+00;239.3620724;239.3620725;-27.2528396;-27.2528234;2400m273;2400m273w1o0026809;2400m273w2o0019131;100;90;1;1;0;0;0;0;1
0776p242o0023493;77.1034260;24.3808895;1220.697;1220.712;1633.094;1633.079;8.93199e+02;1.28583e+03;0.019;0.050;0.018;0.048;1.00285e+01;3.48166e+01;1.00000;1.00000;9.2504e-01;4.4261e-01;0.8374;0.8573;8.85097e+02;1.26535e+03;1.02350e+01;3.56996e+01;2.6305;2.8508;-3.975630e-04;3.704429e-04;4.416448e-04;0.001058;-1.73046e+00;2.93642e+00;77.1034260;77.1034382;24.3808895;24.3809008;0776p242;0776p242w1o0028736;0776p242w2o0021020;112;111;1;1;0;0;0;0;1
1606p575o0024376;160.5418825;58.1489249;1809.057;1809.211;1073.776;1073.919;1.31710e+02;6.24533e+02;0.081;0.072;0.076;0.068;6.02286e+00;2.41290e+01;1.00000;1.00000;6.9720e-01;2.9589e-01;0.8927;0.9306;1.31923e+02;6.19102e+02;6.15106e+00;2.47336e+01;2.6189;2.8403;4.523456e-03;6.627440e-04;1.706547e-03;0.001510;-3.63743e-01;-9.60948e-01;160.5418825;160.5416762;58.1489249;58.1490418;1606p575;1606p575w1o0038225;1606p575w2o0023429;174;175;1;1;0;0;0;0;1
1238p590o0003901;124.5093658;58.4890130;273.918;273.938;565.612;565.610;1.59012e+03;2.07452e+03;0.010;0.027;0.009;0.025;9.73218e+00;3.14024e+01;1.00000;1.00000;1.0353e+00;6.8514e-01;0.9778;0.9830;1.59578e+03;2.08793e+03;9.91529e+00;3.21650e+01;2.6333;2.8508;-3.624558e-04;-1.199186e-03;2.634418e-04;0.000612;-1.25686e+00;-1.41713e+00;124.5093658;124.5093691;58.4890130;58.4890290;1238p590;1238p590w1o0005877;1238p590w2o0003730;126;116;1;1;0;0;0;0;1
0673p151o0021282;67.3453101;15.5915669;1608.841;1608.746;971.721;971.757;6.97097e+02;1.00903e+03;0.023;0.063;0.023;0.060;9.73239e+00;3.45184e+01;1.00000;1.00000;9.3401e-01;6.9407e-01;0.9190;0.9403;6.89261e+02;1.00392e+03;9.93200e+00;3.54076e+01;2.6149;2.8462;1.053631e-03;-7.877350e-04;5.388620e-04;0.001318;-3.28995e+00;-6.70907e+00;67.3453101;67.3452816;15.5915669;15.5914944;0673p151;0673p151w1o0032593;0673p151w2o0020267;111;104;1;1;0;0;0;0;1
0093p136o0013758;9.6834736;13.7274505;1151.438;1151.424;549.026;549.045;1.71547e+03;1.97124e+03;0.009;0.031;0.010;0.031;1.06424e+01;3.45523e+01;1.00000;1.00000;1.3853e+00;1.5237e+00;0.9978;0.9986;1.71808e+03;1.98172e+03;1.08456e+01;3.54111e+01;2.6301;2.8531;-6.663799e-04;-3.344834e-03;2.597197e-04;0.000692;-1.63676e+00;-3.39682e+00;9.6834736;9.6834588;13.7274505;13.7274397;0093p136;0093p136w1o0023676;0093p136w2o0013407;112;110;1;1;0;0;0;0;1
